Make,Model,produce year,Color,fuel Type,gear Type,eng power,distance,Origin,Ad data push,price
Opel,Ascona,1983,Green ,Petrol ,manuel,1600,23455,private ,24/09/2016,13000
Hyundai,Accent,2015,Silver ,Petrol ,Automatic,1400,24000,private ,20/09/2016,71000
Hyundai,Accent,2013,Ferrani ,Petrol ,Automatic,1400,24000,private ,22/09/2016,75000
Skoda,Fabia,2014,grey R ,Petrol ,manuel,1200,25000,private ,20/09/2016,59500
Peugeot,Brantr,1998,Gray ,Diesel ,manuel,1900,25000,private ,21/09/2016,3500
Hyundai,Accent,2013,Residential ,Diesel ,Automatic,1600,25000,private ,26/09/2016,69000
Skoda,Octavia,2015,Residential ,Petrol ,manuel,1400,26000,private ,21/09/2016,112000
Kia,Cerato,2013,White Ivory ,Petrol ,Automatic,1600,26000,private ,24/09/2016,86000
Mercedes,Mercedes CLA200,2013,White Ivory ,Petrol ,Automatic,1600,26000,private ,26/09/2016,203000
VW,Polo,2014,Residential ,Petrol ,manuel,1200,28000,private ,21/09/2016,70000
VW,Polo,2014,Blue ,Petrol ,Automatic,1400,28000,private ,22/09/2016,85000
Hyundai,Accent,2013,White ,Diesel ,Automatic,1600,28000,private ,26/09/2016,760000
Hyundai,Elantra,1999,White Ivory ,Petrol ,Automatic,1600,29000,training ,22/09/2016,26000
Fiat,Panda,2014,Black ,Petrol ,manuel,1250,29000,private ,24/09/2016,53000
Kia,Cerato,2014,Blue ,Petrol ,Automatic,1600,30000,private ,21/09/2016,90000
Hyundai,Accent,2013,Black Metallic ,Petrol ,Automatic,1600,30000,private ,22/09/2016,800000
VW,Polo,2015,White Ivory ,Petrol ,manuel,1200,30000,private ,24/09/2016,73000
Hyundai,Accent,2013,Silver ,Diesel ,Automatic,1400,30000,private ,24/09/2016,66000
Hyundai,Accent,2013,Silver ,Diesel ,Automatic,1600,30000,private ,24/09/2016,71000
Skoda,Fabia,2012,Gray ,Petrol ,manuel,1400,30000,private ,26/09/2016,59000
Hyundai,Accent,2014,Russet ,Petrol ,Automatic,1400,31000,private ,24/09/2016,75000
Hyundai,Accent,2014,Ferrani ,Petrol ,Automatic,1400,31000,private ,24/09/2016,75000
Kia,Rio,2013,Silver ,Petrol ,manuel,1250,31000,private ,25/09/2016,65000
Hyundai,Velostr,2011,Orange ,Petrol ,manuel,1600,32000,private ,21/09/2016,79000
Hyundai,Accent,2014,Residential ,Petrol ,Automatic,1400,32000,private ,22/09/2016,65500
Hyundai,Accent,2014,Residential ,Petrol ,Automatic,1400,32000,private ,26/09/2016,64500
Hyundai,Accent,2014,Silver ,Petrol ,Automatic,1400,33000,private ,22/09/2016,72000
Fiat,Panda,2014,Residential ,Petrol ,manuel,1250,34000,private ,21/09/2016,57000
Hyundai,Santaver,2014,Gray ,Diesel ,Automatic,2200,34000,private ,22/09/2016,178000
Kia,Pride,2013,Silver ,Petrol ,Automatic,1400,34000,private ,22/09/2016,67000
BMW,318,2003,Blue ,Petrol ,manuel,1800,34000,private ,24/09/2016,73500
Skoda,Fabia,2013,Army color ,Petrol ,manuel,1400,34000,private ,25/09/2016,65000
Hyundai,Accent,2014,Silver ,Petrol ,Automatic,1400,35000,private ,21/09/2016,75000
Hyundai,Elantra,1999,Silver ,Diesel ,manuel,1900,35000,private ,21/09/2016,22000
Hyundai,Sonata,1999,Gray ,Petrol ,Automatic,1900,35000,private ,22/09/2016,22000
